,title,genre,language,awards,metascore,boxoffice,production,imdbrating,imdbvotes,imdbid
204,The Devil Inside,Horror,"English, German, Italian",2 wins & 3 nominations.,18,"$53,245,055",Paramount Pictures,4.2,"34,247",tt1560985
205,Young Adult,"Comedy, Drama",English,Nominated for 1 Golden Globe. Another 3 wins & 32 nominations.,71,"$16,295,033",Paramount Studios,6.2,"77,018",tt1625346
206,Puppy Star Christmas,Family,English,2 nominations.,N/A,N/A,N/A,3.4,142,tt8861786
207,Trevor Noah: Son of Patricia,Comedy,"English, Xhosa",2 nominations.,N/A,N/A,N/A,7.2,"2,740",tt9170648
208,A Fairly Odd Summer,"Animation, Comedy, Family, Fantasy",English,N/A,N/A,N/A,Pacific Bay Entertainment,4.2,346,tt3149536
209,Escape from Mr. Lemoncello's Library,Family,English,3 wins & 3 nominations.,N/A,N/A,N/A,5.3,295,tt5878476
210,Legends of the Hidden Temple,"Adventure, Family, Game-Show",English,1 win & 1 nomination.,N/A,na,na,8.1,"2,610",tt0310482
211,"Liar, Liar, Vampire","Comedy, Family",English,N/A,N/A,N/A,Pacific Bay Entertainment,5.8,725,tt4448304
212,Shark Night,Documentary,English,N/A,N/A,N/A,N/A,3.1,110,tt1867055
213,The Massively Mixed-Up Middle School Mystery,"Short, Comedy, Mystery",English,N/A,N/A,N/A,N/A,7.4,54,tt3521770
214,The Holiday Calendar,"Drama, Romance",English,N/A,N/A,N/A,N/A,5.7,"6,928",tt8262802
216,Iliza Shlesinger: Unveiled,Comedy,English,N/A,N/A,N/A,N/A,6.4,866,tt11163008
217,Donald Glover: Weirdo,Comedy,English,N/A,N/A,N/A,Fangoria,7.5,"2,494",tt2345525
218,Colin Quinn: The New York Story,Comedy,English,N/A,N/A,N/A,Netflix,6.7,847,tt6257714
219,Naomi and Ely's No Kiss List,"Comedy, Drama, Romance","English, Spanish",N/A,N/A,N/A,N/A,5.6,"8,597",tt3282858
220,A Christmas Prince,"Comedy, Family, Romance",English,N/A,N/A,N/A,Netflix,5.7,"14,746",tt7608418
221,Mudbound,"Drama, War",English,Nominated for 4 Oscars. Another 36 wins & 113 nominations.,85,N/A,Netflix,7.4,"37,814",tt2396589
222,Santa Claws,"Family, Fantasy",English,N/A,N/A,N/A,The Asylum,3.0,624,tt3922810
223,Drive,"Crime, Drama","English, Spanish",Nominated for 1 Oscar. Another 80 wins & 177 nominations.,78,"$34,300,000",FilmDistrict,7.8,"544,711",tt0780504
224,Jeff Dunham: All Over the Map,Comedy,English,N/A,N/A,N/A,N/A,7.1,720,tt4209802
225,Cam,"Horror, Mystery, Thriller",English,5 wins & 3 nominations.,71,N/A,N/A,5.9,"21,698",tt8361028
226,The Ballad of Buster Scruggs,"Comedy, Drama, Musical, Mystery, Romance, Western","English, French",Nominated for 3 Oscars. Another 8 wins & 36 nominations.,79,N/A,Netflix,7.3,"105,643",tt6412452
227,Earthquake Bird,"Crime, Drama, Mystery, Romance, Thriller","English, Japanese",N/A,51,N/A,Netflix,5.9,"10,169",tt8178486
228,Shopkins: Chef Club,"Animation, Short, Family",English,N/A,N/A,N/A,N/A,4.5,26,tt6241352
229,Clarence Clemons: Who Do I Think I Am?,Documentary,English,N/A,N/A,N/A,N/A,6.4,48,tt10432050
230,DeRay Davis: How to Act Black,Comedy,English,N/A,N/A,N/A,N/A,6.1,354,tt7288084
231,Hickok,Western,English,2 wins & 1 nomination.,49,N/A,Status Media &amp; Entertainment,4.7,"2,431",tt6334884
232,Chelsea Peretti: One of the Greats,Comedy,English,N/A,N/A,N/A,Netflix,7.0,"2,005",tt3804556
233,Chasing Trane: The John Coltrane Documentary,"Documentary, Biography, Music",English,1 nomination.,N/A,N/A,N/A,7.3,"1,523",tt4283892
234,John Mulaney: The Comeback Kid,Comedy,English,N/A,N/A,N/A,Netflix,7.9,"5,625",tt5069564
235,Jeff Garlin: Our Man in Chicago,Comedy,English,N/A,N/A,N/A,N/A,5.8,285,tt11108064
236,Green Room,"Horror, Music, Thriller",English,9 wins & 24 nominations.,79,"$3,219,029",A24 Films,7.0,"98,617",tt4062536
237,Submission,"Drama, Mystery, Romance",English,N/A,N/A,na,na,5.5,"1,249",tt5625066
238,True Memoirs of an International Assassin,"Action, Comedy, Crime",English,N/A,37,N/A,Netflix,5.9,"18,535",tt1542768
239,Bill Burr: Let It Go,Comedy,English,N/A,N/A,N/A,N/A,8.4,"4,382",tt1717578
240,Natalia Valdebenito: Gritona,Comedy,Spanish,N/A,N/A,N/A,Comedy Dynamics,N/A,N/A,tt7160286
241,Kathleen Madigan: Bothering Jesus,Comedy,English,N/A,N/A,N/A,N/A,6.6,394,tt6264486
242,American Son,Drama,English,1 nomination.,34,N/A,Netflix,5.6,"4,787",tt9664078
243,Christmas Break-In,Family,English,N/A,N/A,N/A,N/A,5.5,68,tt8244578
244,Christmas in the Heartland,Family,English,N/A,N/A,N/A,Ascension Media,6.0,608,tt3396114
245,Holly Star,Comedy,English,N/A,N/A,N/A,The Orchard,5.1,307,tt6268734
246,Legion,"Action, Adventure, Fantasy, History, Horror, Sci-Fi",English,N/A,32,"$40,168,080",Screen Gems,5.2,"95,814",tt1038686
247,Santa Girl,"Comedy, Romance",English,N/A,N/A,N/A,N/A,5.0,624,tt7315570
248,Edge of Fear,Thriller,"English, Chinese",N/A,N/A,N/A,Parkside Pictures,4.4,"1,730",tt7149916
249,Filmworker,"Documentary, Biography",English,1 win & 4 nominations.,73,N/A,Kino Lorber,7.4,"2,271",tt6851066
250,Marc Maron: Thinky Pain,Comedy,English,N/A,N/A,N/A,N/A,7.4,"1,439",tt3004634
